,city,lat,temp_max,windspeed,cloudiness,humidity
307,cockburn town,21.46,82.4,9.17,40,74
308,cabo san lucas,22.89,89.6,6.93,40,62
309,sosnovka,53.23,52.43,15.01,100,88
310,kahta,37.78,57.2,5.82,0,54
311,mangrol,25.33,71.37,6.13,96,33
312,isla mujeres,21.23,86.0,9.17,75,66
313,coos bay,43.37,59.0,2.91,1,87
314,shingu,33.72,57.81,6.69,0,63
315,rawson,-43.3,64.99,20.51,0,41
316,airai,-8.93,66.49,3.4,13,65
317,jishou,28.26,53.65,2.89,100,88
318,nemuro,43.32,45.05,27.76,25,66
319,prince george,53.92,30.99,11.41,90,92
320,sao joao da barra,-21.64,91.4,13.87,100,49
321,panguna,-6.32,74.48,3.0,100,87
322,aquiraz,-3.9,86.0,16.11,20,66
323,muncie,40.19,52.0,14.99,75,37
324,marsaxlokk,35.84,71.01,5.82,20,73
325,portree,57.41,43.0,5.19,43,89
326,norman wells,65.28,14.0,9.17,75,85
327,bergerac,44.85,50.0,12.75,50,93
328,anadyr,64.73,28.4,13.42,90,86
329,tucuman,-17.17,65.55,9.57,0,45
330,guadalupe y calvo,26.09,70.03,6.51,100,43
331,kirove,47.83,51.33,6.29,58,97
332,sao felix do xingu,-6.64,85.71,2.59,100,55
333,honiara,-9.43,73.4,4.7,20,100
334,malartic,48.14,35.6,11.41,75,87
335,the pas,53.82,15.8,13.87,90,72
336,adrar,27.87,78.8,6.93,0,19
337,aktau,43.65,39.2,13.42,96,60
338,mouzouras,35.53,66.2,1.45,0,93
339,sibiti,-3.69,70.45,0.65,100,97
340,nelson bay,-32.72,55.99,8.05,0,93
341,arman,59.7,33.67,20.71,100,63
342,pedregulho,-20.25,73.81,9.06,100,79
343,gorontalo,0.54,72.7,2.26,88,84
344,breytovo,58.3,45.28,12.44,100,92
345,berlevag,70.86,33.8,6.93,75,73
346,eregli,37.51,52.34,2.21,0,42
347,torbat-e jam,35.24,33.93,3.83,0,50
348,sabha,27.03,75.7,7.74,0,24
349,tateyama,36.66,46.0,1.01,0,78
350,san miguel,-34.54,82.0,10.29,0,39
351,rawicz,51.61,46.99,6.93,67,87
352,suntar,62.16,-4.56,5.26,89,90
353,tak bai,6.26,77.0,5.82,75,88
354,zabaykalsk,49.64,18.57,2.91,93,61
355,baoro,5.69,69.8,2.01,52,70
356,maiduguri,11.84,83.28,5.86,0,18
357,sao filipe,14.9,79.92,24.45,100,59
358,beloretsk,58.67,39.63,12.33,100,96
